ID;Unit;Civic number - Parcel;Street name - Parcel;Business name;Retail category;Year recorded;Geo Local Area;Geom;geo_point_2d
7142;N/A;362;POWELL ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.0963427786042, 49.28287178230186], ""type"": ""Point""}";49.28287178230186, -123.0963427786042
7149;N/A;398;POWELL ST;Downtown Eastside Women’s Centre;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.09560954687767, 49.2828579711464], ""type"": ""Point""}";49.2828579711464, -123.09560954687767
7150;N/A;399;POWELL ST;Dar Foods;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09558856779154, 49.28337331668294], ""type"": ""Point""}";49.28337331668294, -123.09558856779154
7154;N/A;437;POWELL ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.09436904783364, 49.28335152169714], ""type"": ""Point""}";49.28335152169714, -123.09436904783364
7156;N/A;453;POWELL ST;Po Yuen Taoist Centre Society;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.09405491011606, 49.28334573755831], ""type"": ""Point""}";49.28334573755831, -123.09405491011606
7157;N/A;461;POWELL ST;Gah Lok Dim Sum Ltd;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09395019525307, 49.2833438015283], ""type"": ""Point""}";49.2833438015283, -123.09395019525307
7158;N/A;469;POWELL ST;Payless Meats;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09374076422071, 49.28333995257211], ""type"": ""Point""}";49.28333995257211, -123.09374076422071
7159;N/A;473;POWELL ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.0936360493904, 49.283338020755], ""type"": ""Point""}";49.283338020755, -123.0936360493904
7168;N/A;1975;E 41ST AV;Sun Wah Enterprises;Convenience Goods;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06599296559173, 49.23288918929794], ""type"": ""Point""}";49.23288918929794, -123.06599296559173
7173;N/A;1956;E 47TH AV;Dave Hair Salon;Service Commercial;2021;Victoria-Fraserview;"{""coordinates"": [-123.066077202785, 49.22731066953465], ""type"": ""Point""}";49.22731066953465, -123.066077202785
7176;N/A;1973;E 49TH AV;The 49th Alternative Unicare Therapy;Service Commercial;2021;Victoria-Fraserview;"{""coordinates"": [-123.06625645115156, 49.22543927153728], ""type"": ""Point""}";49.22543927153728, -123.06625645115156
7184;N/A;4866;VICTORIA DRIVE;Vacant;Vacant;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06494069813442, 49.24023744149562], ""type"": ""Point""}";49.24023744149562, -123.06494069813442
7187;N/A;4890;VICTORIA DRIVE;Indian Bay Leaf;Food & Beverage;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06494069813442, 49.24023744149562], ""type"": ""Point""}";49.24023744149562, -123.06494069813442
7188;N/A;4902;VICTORIA DRIVE;Fast Cell Repair;Service Commercial;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06496916904852, 49.23967713797666], ""type"": ""Point""}";49.23967713797666, -123.06496916904852
7198;N/A;4969;VICTORIA DRIVE;Paul De Lange Law Corporation;Service Commercial;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06574377485185, 49.239518443765725], ""type"": ""Point""}";49.239518443765725, -123.06574377485185
7203;N/A;5000;VICTORIA DRIVE;Homeland Auto Repair;Automotive Goods & Services;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.0649642754103, 49.238809763658345], ""type"": ""Point""}";49.238809763658345, -123.0649642754103
7212;N/A;5055;VICTORIA DRIVE;Vacant;Vacant;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06577332123247, 49.23879754278922], ""type"": ""Point""}";49.23879754278922, -123.06577332123247
7217;N/A;5083;VICTORIA DRIVE;Bun Cha Ca Hoang Yen Vietnamese & Canadian Cuisine Ltd;Food & Beverage;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06578665816544, 49.238512329302125], ""type"": ""Point""}";49.238512329302125, -123.06578665816544
7220;N/A;5090;VICTORIA DRIVE;Yuki Hair Design;Service Commercial;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.0649782166181, 49.23824754228577], ""type"": ""Point""}";49.23824754228577, -123.0649782166181
7224;N/A;5108;VICTORIA DRIVE;Fatty Cow Seafood Hot Pot;Food & Beverage;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06500291444225, 49.23801441303413], ""type"": ""Point""}";49.23801441303413, -123.06500291444225
7226;N/A;5125;VICTORIA DRIVE;JJ Sri Lankan Store;Convenience Goods;2021;Kensington-Cedar Cottage;"{""coordinates"": [-123.06578878726121, 49.23810877714917], ""type"": ""Point""}";49.23810877714917, -123.06578878726121
