TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2022,1,19,13,41,16XX SALT ST,Mount Pleasant,492287.1191,5457560.679
Other Theft,2022,1,21,17,50,16XX SALT ST,Mount Pleasant,492287.1191,5457560.679
Other Theft,2022,2,23,17,22,16XX SALT ST,Mount Pleasant,492287.1191,5457560.679
Other Theft,2022,5,7,10,0,16XX SALT ST,Mount Pleasant,492287.1191,5457560.679
Other Theft,2022,1,21,17,50,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,2,10,9,30,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,2,10,16,10,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,2,23,18,36,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,2,23,20,50,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,3,10,18,15,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,4,20,13,20,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,5,7,19,17,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,5,8,14,49,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,6,8,20,15,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,6,9,19,15,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,6,23,13,58,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Other Theft,2022,1,13,17,20,16XX SE MARINE DR,Victoria-Fraserview,494711.1334,5450909.484
Other Theft,2022,1,30,13,5,16XX SE MARINE DR,Victoria-Fraserview,494711.1334,5450909.484
Other Theft,2022,2,26,16,35,16XX SE MARINE DR,Victoria-Fraserview,494711.1334,5450909.484
Other Theft,2022,6,22,16,42,16XX VENABLES ST,Grandview-Woodland,494831.6457,5458220.7191
Other Theft,2022,5,25,13,15,16XX VENABLES ST,Grandview-Woodland,494868.1821,5458220.0705
Other Theft,2022,3,29,17,25,16XX VENABLES ST,Grandview-Woodland,494943.2192,5458208.9501
Other Theft,2022,6,6,9,0,16XX W 2ND AVE,Fairview,489692.8474,5457445.5977
Other Theft,2022,3,23,9,4,16XX W 64TH AVE,Marpole,489527.9234,5451171.9199
Other Theft,2022,2,9,14,46,16XX W 7TH AVE,Fairview,489603.4315,5456966.1737
Other Theft,2022,3,26,20,0,16XX W 7TH AVE,Fairview,489732.9772,5456972.0677
Other Theft,2022,3,29,0,0,16XX W 7TH AVE,Fairview,489735.3308,5456972.0079
Other Theft,2022,3,29,14,45,16XX W BROADWAY AVE,Fairview,489670.0391,5456768.469
Other Theft,2022,5,4,5,25,16XX W KING EDWARD AVE,Shaughnessy,489600.3881,5455214.1446
Other Theft,2022,6,11,22,37,16XX WHYTE AVE,Kitsilano,489669.3954,5458128.0056
Other Theft,2022,5,25,17,0,16XX WHYTE AVE,Kitsilano,489688.2058,5458137.9115
Other Theft,2022,2,8,20,0,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Other Theft,2022,1,12,23,0,17XX ALBERNI ST,West End,490316.9427,5459864.4127
Other Theft,2022,1,24,9,30,17XX BEACH AVE,West End,489616.2382,5459110.3471
Other Theft,2022,3,31,19,5,17XX BEACH AVE,West End,489625.614,5459220.6058
Other Theft,2022,6,30,6,15,17XX BEACH AVE,West End,489625.6148,5459220.6134
Other Theft,2022,2,21,12,0,17XX BEACH AVE,West End,489639.0715,5459330.226
Other Theft,2022,3,6,17,30,17XX BEACH AVE,West End,489639.0715,5459330.226
Other Theft,2022,3,31,10,10,17XX COMMERCIAL DR,Grandview-Woodland,494935.8968,5457415.0779
Other Theft,2022,1,4,16,34,17XX COMOX ST,West End,489888.1719,5459515.3215
Other Theft,2022,6,22,9,45,17XX COOK ST,Mount Pleasant,491946.7932,5457433.2464
Other Theft,2022,3,14,22,30,17XX COTTON DR,Grandview-Woodland,494788.3466,5457409.0039
Other Theft,2022,6,15,11,13,17XX DAVIE ST,West End,489697.46,5459396.3017
Other Theft,2022,5,30,19,35,17XX DAVIE ST,West End,489722.1111,5459358.877
Other Theft,2022,6,1,15,0,17XX DAVIE ST,West End,489742.2009,5459351.788
Other Theft,2022,4,23,16,9,17XX DAVIE ST,West End,489775.1117,5459306.1456
