stop_lat,stop_code,stop_lon,stop_id,stop_name,zone_id
49.218398,51206,-123.065832,1215,Northbound Victoria Dr @ Upland Dr,BUS ZN
49.244919,51102,-123.153466,1111,Southbound Arbutus St @ Valley Dr,BUS ZN
49.239992,51104,-123.155467,1113,Southbound Arbutus St @ W 35 Ave,BUS ZN
49.242695,51103,-123.15359,1112,Southbound Arbutus St @ W 32 Ave,BUS ZN
49.236097,51106,-123.155609,1115,Southbound West Blvd @ W 39 Ave,BUS ZN
49.23803,51105,-123.155552,1114,Southbound West Blvd @ W 37 Ave,BUS ZN
49.232443,51108,-123.155746,1117,Southbound West Blvd @ W 43 Ave,BUS ZN
49.234303,51107,-123.155677,1116,Southbound West Blvd @ W 41 Ave,BUS ZN
49.227465,51210,-123.065556,1219,Northbound Victoria Dr @ Waverley Ave,BUS ZN
49.224744,51987,-123.054297,2004,Eastbound E 49 Ave @ Elliott St,BUS ZN
49.22471,51988,-123.049761,2005,Eastbound E 49 Ave @ Vivian St,BUS ZN
49.234673,60745,-123.186318,12168,Dunbar Loop @ Bay 3,BUS ZN
49.205381,61360,-123.130464,11262,Southbound Oak St @ W 72 Ave,BUS ZN
49.266245,61040,-123.115944,11260,Olympic Village Station @ Bay 1,BUS ZN
49.237907,51787,-123.031047,1801,Joyce Station @ Bay 4,BUS ZN
49.23422,50199,-123.138484,199,Eastbound W 41 Ave @ Granville St,BUS ZN
49.234391,50198,-123.139167,198,Westbound W 41 Ave @ Granville St,BUS ZN
49.234081,50195,-123.128633,195,Westbound W 41 Ave @ Oak St,BUS ZN
49.234332,50197,-123.137,197,Westbound W 41 Ave @ Cartier St,BUS ZN
49.234201,50196,-123.132951,196,Westbound W 41 Ave @ Selkirk St,BUS ZN
49.281944,50190,-123.115253,190,Southbound Richards St @ Dunsmuir St,BUS ZN
49.28128,59040,-123.119551,193,Westbound Robson St @ Granville St,BUS ZN
49.263652,60552,-123.134884,12791,Westbound W Broadway @ Hemlock St,BUS ZN
49.242913,52735,-123.019292,2760,Eastbound Moscrop St @ Smith Ave,BUS ZN
49.255774,50843,-123.089737,850,Northbound Fraser St @ E 17 Ave,BUS ZN
49.258292,50844,-123.089096,851,Northbound Fraser St @ E 14 Ave,BUS ZN
49.260077,50845,-123.089055,852,Northbound Fraser St @ E 12 Ave,BUS ZN
49.261837,50846,-123.08903,853,Northbound Fraser St @ E 10 Ave,BUS ZN
49.284435,50852,-123.112367,859,Westbound W Hastings St @ Richards St,BUS ZN
49.25903,58401,-123.044439,8907,Renfrew Station @ Bay 1,BUS ZN
49.255003,60709,-123.076054,1304,Southbound Knight St @ E 17 Ave,BUS ZN
49.249651,51296,-123.076243,1307,Southbound Knight St @ E 23 Ave,BUS ZN
49.264806,51289,-123.07763,1300,Southbound Clark Dr @ E 6th Ave,BUS ZN
49.262018,51290,-123.07773,1301,Southbound Clark Dr @ E Broadway,BUS ZN
49.259354,51291,-123.077691,1302,Southbound Clark Dr @ E 12 Ave,BUS ZN
49.248155,51297,-123.076298,1308,Southbound Knight St @ E King Edward Ave,BUS ZN
49.24614,51298,-123.076373,1309,Southbound Knight St @ E 27 Ave,BUS ZN
49.284871,50494,-123.060143,498,Westbound Dundas St @ N Templeton Dr,BUS ZN
49.284888,50495,-123.063271,499,Westbound Dundas St @ Wall St,BUS ZN
49.288801,50490,-123.052418,494,Westbound McGill St @ N Penticton St,BUS ZN
49.288026,50491,-123.05666,495,Southbound N Nanaimo St @ McGill St,BUS ZN
49.286276,50492,-123.056672,496,Southbound N Nanaimo St @ Cambridge St,BUS ZN
49.284885,50493,-123.057411,497,Westbound Dundas St @ N Garden Dr,BUS ZN
49.28882,50489,-123.047415,493,Westbound McGill St @ N Kaslo St,BUS ZN
49.258091,51592,-123.18653,1604,Westbound W 16 Ave @ Alma St,BUS ZN
49.26801,61762,-123.150017,12814,Eastbound W 4th Ave @ Maple St,BUS ZN
49.252727,50968,-123.066107,977,Southbound Victoria Dr @ Victoria Diversion,BUS ZN
49.253864,50967,-123.067594,976,Southbound Victoria Diversion @ Commercial St,BUS ZN
49.257485,58093,-123.069954,974,Southbound Commercial Dr @ E 14 Ave,BUS ZN
49.259177,58092,-123.06995,973,Southbound Commercial Dr @ E 12 Ave,BUS ZN
49.261929,50963,-123.069913,972,Commercial-Broadway Station @ Bay 2,BUS ZN
49.281228,50961,-123.052402,970,Westbound E Hastings St @ Penticton St,BUS ZN
49.268415,60570,-123.177316,12811,Eastbound W 4th Ave @ Blenheim St,BUS ZN
49.274606,59914,-123.119683,10471,Westbound Pacific Blvd @ Cambie St,BUS ZN
49.279326,58169,-123.105758,10470,Eastbound Keefer Place @ Taylor St,BUS ZN
49.27487,59926,-123.101464,10478,Eastbound National Ave @ Quebec St,BUS ZN
49.219851,61800,-123.065682,11871,Victoria Dr @ 54th Avenue Loop,BUS ZN
49.229625,51668,-123.043009,1681,Northbound Rupert St @ E 45 Ave,BUS ZN
49.227532,51667,-123.041348,1680,Northbound Rupert St @ Kerr St,BUS ZN
49.233276,51670,-123.042996,1683,Northbound Rupert St @ E 41 Ave,BUS ZN
49.231367,51669,-123.042993,1682,Northbound Rupert St @ E 43 Ave,BUS ZN
49.238709,51671,-123.032702,1685,Joyce Station @ Bay 2,BUS ZN
49.244846,51675,-123.033756,1689,Northbound Rupert St @ E 29 Ave,BUS ZN
49.264278,50315,-123.185239,318,Eastbound W Broadway @ Alma St,BUS ZN
49.256755,50310,-123.185003,313,Northbound Dunbar St @ W 18 Ave,BUS ZN
49.253177,50308,-123.18504,311,Northbound Dunbar St @ W 22 Ave,BUS ZN
49.250494,50307,-123.185062,310,Northbound Dunbar St @ W King Edward Ave,BUS ZN
