TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,RECENCY
Other Theft,2022,1,26,7,15,X KINGSWAY AVE,Mount Pleasant,492669.4602,5456863.0683,141
Other Theft,2022,2,6,11,0,X KINGSWAY AVE,Mount Pleasant,492670.4907,5456861.2704,130
Other Theft,2022,3,8,17,40,X KINGSWAY AVE,Mount Pleasant,492670.4907,5456861.2704,100
Other Theft,2022,5,17,8,41,X KINGSWAY AVE,Mount Pleasant,492670.4907,5456861.2704,30
Other Theft,2022,3,9,23,0,X MAIN ST,Strathcona,492759.1772,5459217.5835,99
Other Theft,2022,4,4,19,45,X NK_LOC ST,Strathcona,492757.4868,5458792.469,73
Other Theft,2022,1,1,16,30,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,166
Other Theft,2022,1,15,16,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,152
Other Theft,2022,1,18,17,1,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,149
Other Theft,2022,1,18,20,30,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,149
Other Theft,2022,1,19,2,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,148
Other Theft,2022,1,25,0,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,142
Other Theft,2022,1,27,10,20,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,140
Other Theft,2022,2,1,8,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,135
Other Theft,2022,2,11,17,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,125
Other Theft,2022,2,12,20,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,124
Other Theft,2022,2,24,11,30,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,112
Other Theft,2022,3,5,14,15,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,103
Other Theft,2022,3,5,21,48,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,103
Other Theft,2022,3,12,16,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,96
Other Theft,2022,3,21,12,30,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,87
Other Theft,2022,3,22,6,50,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,86
Other Theft,2022,3,26,23,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,82
Other Theft,2022,3,31,0,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,77
Other Theft,2022,4,3,22,24,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,74
Other Theft,2022,4,6,18,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,71
